battery_id,temp_group,n_cycles,init_capacity_ahr,max_capacity_ahr,final_capacity_ahr,eol_threshold_ahr,reached_eol,rul_at_cycle1,rul_min,rul_max
B0041,cold,67,0.0467,1.2156,0.8657,0.8136,True,66.0,0.0,66.0
B0042,cold,112,0.0871,1.7315,1.3569,1.336,True,111.0,0.0,111.0
B0043,cold,112,0.0591,1.7138,1.3003,1.2718,True,111.0,0.0,111.0
B0044,cold,112,0.0593,1.6865,1.2686,1.2318,True,111.0,0.0,111.0
B0045,cold,72,0.928,1.082,0.6843,0.8656,True,1.0,0.0,1.0
B0046,cold,72,1.5161,1.7282,1.2293,1.0499,True,71.0,0.0,71.0
B0047,cold,72,1.5244,1.6743,1.1903,1.0129,True,71.0,0.0,71.0
B0048,cold,72,1.5077,1.658,1.2487,1.0396,True,71.0,0.0,71.0
B0049,cold,25,1.3729,2.3786,0.7821,1.0949,True,1.0,0.0,1.0
B0050,cold,25,1.6016,2.6401,0.5737,1.2614,True,3.0,0.0,3.0
B0051,cold,25,1.2289,2.3309,0.7839,0.9831,True,1.0,0.0,1.0
B0052,cold,25,1.3707,1.4183,,1.0966,True,3.0,0.0,3.0
B0053,cold,56,1.024,1.1541,1.0352,0.8536,True,55.0,0.0,55.0
B0054,cold,103,0.9801,1.1665,0.9337,0.8828,True,4.0,0.0,4.0
B0055,cold,102,1.0954,1.3199,1.0292,0.9032,True,7.0,0.0,7.0
B0056,cold,102,1.2013,1.3444,1.1267,0.961,True,7.0,0.0,7.0
B0029,hot,40,1.7393,1.8447,1.6456,1.421,False,39.0,0.0,39.0
B0030,hot,40,1.6718,1.7816,1.5846,1.364,False,39.0,0.0,39.0
B0031,hot,40,1.7517,1.8329,1.687,1.4093,False,39.0,0.0,39.0
B0032,hot,40,1.77,1.894,1.6686,1.4457,False,39.0,0.0,39.0
B0038,hot,47,1.7859,1.7864,1.027,1.4228,True,6.0,0.0,6.0
B0039,hot,47,1.7701,1.7716,0.4668,1.4072,True,5.0,0.0,5.0
B0040,hot,47,1.7334,1.7341,0.7405,1.3847,True,46.0,0.0,46.0
B0005,room,168,1.8258,1.8565,1.5849,1.4535,True,15.0,0.0,15.0
B0006,room,168,1.9242,2.0353,1.4876,1.5341,True,13.0,0.0,13.0
B0007,room,168,1.871,1.8911,1.6363,1.4872,True,20.0,0.0,20.0
B0018,room,132,1.7536,1.855,1.3797,1.3065,False,131.0,0.0,131.0
B0025,room,28,1.847,1.849,1.7678,1.472,False,27.0,0.0,27.0
B0026,room,28,1.8133,1.8165,1.7688,1.4487,True,5.0,0.0,5.0
B0027,room,28,1.8233,1.8233,1.7701,1.4503,False,27.0,0.0,27.0
B0028,room,28,1.8047,1.8048,1.7172,1.433,False,27.0,0.0,27.0
B0033,room,197,0.6896,1.8851,1.6423,1.2994,True,30.0,0.0,30.0
B0034,room,197,1.6623,1.8203,1.484,1.1592,True,46.0,0.0,46.0
B0036,room,197,1.8011,2.4441,1.7756,1.4032,True,46.0,0.0,46.0
